#{"t_start": 1767050405.1275222, "env_id": "Reacher-v4"}
r,l,t
-3.513161,50,349.329011
-6.59254,50,349.92468
-3.673873,50,350.521975
-5.47962,50,351.124667
-6.012217,50,351.830513
-5.838775,50,352.456866
-2.578091,50,353.041566
-2.905442,50,353.617776
-3.779912,50,354.174521
-5.117894,50,354.778496
-5.725455,50,355.363626
-2.983763,50,355.94168
-6.767855,50,356.536093
-5.024953,50,357.156711
-2.29643,50,357.723483
-5.64063,50,358.296227
-4.967395,50,358.872516
-7.299356,50,359.484749
-3.781946,50,360.070952
-4.504185,50,360.645083
-4.392572,50,361.222362
-6.054187,50,361.807367
-6.343467,50,362.395674
-7.562658,50,363.001274
-2.275926,50,363.610873
-3.544386,50,364.222663
-4.040746,50,364.79944
-5.914813,50,365.384288
-6.813509,50,365.957023
-4.061113,50,366.794519
-5.827519,50,367.362776
-2.92641,50,367.914896
-4.791021,50,368.478543
-6.813979,50,369.061369
-5.684474,50,369.622548
-6.227364,50,370.181065
-4.882669,50,370.691601
-6.935175,50,371.279883
-2.739092,50,371.871424
-5.896514,50,372.486429
-4.751895,50,373.073346
-2.818728,50,373.655897
-3.089808,50,374.216802
-4.081925,50,374.803615
-5.356816,50,375.378773
-3.314888,50,375.954469
-4.590301,50,376.486431
-2.171355,50,377.076714
-3.762834,50,377.647365
-4.061051,50,378.224015
-3.87048,50,378.779807
-7.647875,50,379.330852
-4.246666,50,379.917836
-3.173498,50,380.516688
-4.239147,50,381.093635
-5.44525,50,381.795789
-5.51991,50,382.350926
-6.126064,50,382.972244
-3.459187,50,383.544279
-7.150686,50,384.11528
-6.381606,50,384.699408
-4.169841,50,385.321842
-7.098874,50,385.920067
-3.814755,50,386.515446
-4.154933,50,387.06067
-6.99234,50,387.631676
-7.146433,50,388.191128
-5.855415,50,388.774316
-3.889915,50,389.368989
-7.123435,50,389.961556
-5.699078,50,390.516061
-4.746194,50,391.08914
-4.911111,50,391.679021
-4.270627,50,392.281036
-5.108309,50,392.873497
-2.347888,50,393.459313
-5.98771,50,394.033795
-6.417689,50,394.607791
-7.621813,50,395.167688
-5.107887,50,395.747138
-5.994722,50,396.312757
-3.025176,50,397.120757
-6.632113,50,397.688229
-2.454808,50,398.257375
-5.442051,50,398.825633
-5.945891,50,399.413151
-5.085826,50,399.975532
-3.882227,50,400.542601
-2.315776,50,401.082605
-3.90479,50,401.678482
-2.598049,50,402.227904
-2.415766,50,402.791211
-5.112669,50,403.360387
-4.423586,50,403.948571
-2.62122,50,404.504597
-4.948758,50,405.071084
-5.552114,50,405.629486
-4.63427,50,406.228023
-4.459582,50,406.813514
-5.925485,50,407.380365
-6.722252,50,407.927868
-5.241461,50,408.504742
-4.250839,50,409.053677
-4.267888,50,409.630132
-5.327538,50,410.196446
-5.541908,50,410.801659
-4.944871,50,411.493538
-4.270133,50,412.081321
-2.758181,50,412.681127
-3.675136,50,413.30709
-2.685355,50,413.899093
-6.122925,50,414.468797
-4.638924,50,415.031807
-7.407161,50,415.568199
-6.946645,50,416.099894
-5.624255,50,416.679504
-2.76119,50,417.249181
-3.786419,50,417.848065
-3.866187,50,418.408225
-4.549552,50,418.957668
-6.821037,50,419.508613
-4.842949,50,420.109166
-3.674932,50,420.642838
-3.573129,50,421.214785
-5.630703,50,421.75518
-5.276702,50,422.336628
-2.182349,50,422.897096
-2.299469,50,423.492718
-4.080571,50,424.063858
-7.127087,50,424.666471
-5.286198,50,425.223453
-6.435605,50,425.78423
-6.841992,50,426.335329
-4.226425,50,427.149967
-6.5238,50,427.738283
-6.239971,50,428.323813
-6.991488,50,428.924015
-4.722424,50,429.538025
-4.643584,50,430.138304
-2.995625,50,430.716454
-6.387993,50,431.310637
-3.499743,50,431.89661
