#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-8.097899,50,235.222032
-5.581628,50,235.746367
-6.005338,50,236.268937
-3.805281,50,236.780484
-6.102621,50,237.332031
-9.712838,50,237.848204
-4.26251,50,238.352351
-4.984404,50,238.852512
-3.551093,50,239.37894
-6.217771,50,239.896556
-5.297483,50,240.431274
-4.398191,50,240.956495
-8.241684,50,241.474905
-6.066737,50,241.988243
-4.055015,50,242.517511
-7.451388,50,243.050297
-5.248285,50,243.582722
-2.93246,50,244.110066
-4.63625,50,244.633299
-4.2432,50,245.183666
-7.027559,50,245.735664
-6.597925,50,246.257997
-7.084353,50,246.809849
-2.602489,50,247.339187
-4.65512,50,247.878664
-4.780062,50,248.394384
-5.296944,50,248.929566
-3.801775,50,249.435239
-5.061278,50,249.963668
-7.815305,50,250.510151
-7.187848,50,251.066953
-5.430277,50,251.62168
-5.855764,50,252.176498
-4.063664,50,252.712253
-1.857274,50,253.252084
-7.421036,50,253.79786
-6.715177,50,254.352863
-5.48986,50,254.876325
-2.656258,50,255.404766
-6.559495,50,255.931625
-5.875085,50,256.47623
-5.594474,50,257.020509
-3.838745,50,257.558631
-5.121495,50,258.124484
-5.340254,50,258.637355
-7.621846,50,259.184047
-4.47912,50,259.706643
-4.513609,50,260.247442
-4.717775,50,260.766883
-4.824893,50,261.276997
-7.144822,50,261.837876
-2.629936,50,262.332904
-5.046835,50,262.844612
-7.146998,50,263.361396
-5.800053,50,263.908958
-4.675631,50,264.405718
-4.187774,50,264.921628
-5.606441,50,265.430142
-4.912395,50,265.950553
-6.840449,50,266.502263
-3.398094,50,267.063457
-4.378077,50,267.598829
-6.803024,50,268.114933
-5.280244,50,268.629759
-4.471441,50,269.155035
-5.535943,50,269.691709
-6.592668,50,270.226034
-8.736865,50,270.792348
-5.728713,50,271.328278
-5.187457,50,271.859802
-4.666217,50,272.396476
-3.563355,50,272.926737
-3.319859,50,273.486388
-7.399563,50,274.008843
-4.874036,50,274.561825
-3.972732,50,275.108799
-5.056347,50,275.659209
-5.804283,50,276.16629
-3.974915,50,276.70145
-6.705144,50,277.222957
-5.643009,50,277.773924
-3.59756,50,278.303798
-3.87342,50,278.852062
-5.314396,50,279.374563
-2.862579,50,279.901917
-6.580198,50,280.451471
-7.374281,50,280.995485
-3.344212,50,281.503704
-6.11105,50,282.004783
-4.261035,50,282.516995
-6.254004,50,283.07087
-6.003184,50,283.583313
-5.190185,50,284.075941
-5.306197,50,284.621779
-6.049974,50,285.151957
-4.556801,50,285.669727
-6.216867,50,286.200526
-5.102303,50,286.725465
-7.17659,50,287.277406
-8.72998,50,287.81872
-5.448235,50,288.366799
-5.284453,50,288.903229
-4.423146,50,289.447275
-3.098135,50,290.02325
-6.059334,50,290.526705
-5.540167,50,291.058277
-6.207063,50,291.601075
-6.374585,50,292.129751
-5.911052,50,292.660647
-5.61964,50,293.184412
-8.110999,50,293.72764
-6.772425,50,294.222802
-3.495418,50,294.743513
-5.655586,50,295.254459
-5.19568,50,295.825769
-3.160948,50,296.366122
-2.60392,50,296.879947
-7.090597,50,297.412856
-3.969263,50,297.961168
-6.660467,50,298.477277
-3.396952,50,299.030968
-5.762451,50,299.622286
-5.784371,50,300.181197
-3.830609,50,300.736991
-5.556688,50,301.267369
-5.409909,50,301.829717
-3.256794,50,302.387542
-7.373066,50,302.911903
-4.553175,50,303.446542
-4.475816,50,303.971941
-6.546839,50,304.486791
-4.418269,50,305.017441
-6.439813,50,305.570853
-6.198781,50,306.099184
-6.30023,50,306.611343
-4.616897,50,307.155794
-6.00031,50,307.666314
-6.30296,50,308.176704
-4.249817,50,308.719794
-4.008604,50,309.252589
-4.489465,50,309.772461
-3.272855,50,310.280042
-8.35402,50,310.810919
-5.798714,50,311.34537
-5.600397,50,311.862131
-7.437762,50,312.389421
-6.374364,50,312.916416
-4.284084,50,313.450814
-5.785803,50,313.947971
-6.828535,50,314.451357
-6.081765,50,314.97427
-3.092791,50,315.50394
-3.762591,50,316.011582
-8.446681,50,316.568409
-5.497282,50,317.122825
-5.176795,50,317.639647
-3.205455,50,318.175832
-5.732356,50,318.701389
-3.305008,50,319.232531
-3.385899,50,319.738907
-2.682816,50,320.262612
-4.160111,50,320.786399
-3.832197,50,321.304169
-5.837282,50,321.831657
-4.862328,50,322.345301
-7.401021,50,322.858471
-5.428523,50,323.388117
-2.976743,50,323.90449
-2.791337,50,324.407511
-6.828367,50,324.923278
-3.05132,50,325.439801
-5.902401,50,325.953685
-2.839973,50,326.483898
-4.454723,50,327.015255
-6.643953,50,327.537456
-6.719981,50,328.060315
-3.285226,50,328.593147
-2.615049,50,329.110637
-4.248975,50,329.638194
-6.44017,50,330.167026
-5.710265,50,330.686059
-5.938511,50,331.201236
-5.955741,50,331.750585
-5.511143,50,332.269841
-4.217549,50,332.774072
-4.556851,50,333.2903
-6.320438,50,333.841632
-7.599358,50,334.358284
-7.592793,50,334.871319
-3.316958,50,335.394582
-6.594769,50,335.938689
-4.783085,50,336.456551
-5.485692,50,336.967272
-5.327831,50,337.483628
-5.987522,50,338.027507
-7.278701,50,338.549752
-3.62524,50,339.062571
-4.985231,50,339.594499
-2.399851,50,340.122114
-3.8877,50,340.619426
-6.067295,50,341.146851
-5.739833,50,341.664132
-3.732933,50,342.186549
-5.341792,50,342.682967
-6.833381,50,343.222817
-5.173493,50,343.746162
-6.743283,50,344.261848
-6.258009,50,344.773753
-6.372798,50,345.305409
-5.909338,50,345.825676
-5.278798,50,346.365641
-5.351545,50,346.904915
-2.232655,50,347.422521
-8.628669,50,347.952661
-8.239145,50,348.473071
-4.169468,50,348.985984
-2.207589,50,349.514426
-6.292123,50,350.033239
-2.538489,50,350.55851
-7.345298,50,351.066324
-1.465241,50,351.609984
-5.278265,50,352.177373
-6.221908,50,352.738455
-4.770741,50,353.220563
-7.601688,50,353.753509
-6.894312,50,354.30086
-7.026447,50,354.838232
-4.981424,50,355.375068
-6.387978,50,355.889257
-4.028481,50,356.413693
-4.653523,50,356.931831
-3.223636,50,357.488569
-3.708156,50,358.034105
-7.796072,50,358.559834
-7.144561,50,359.095431
-5.195616,50,359.637717
-3.864112,50,360.158614
-6.758239,50,360.672622
-8.213863,50,361.195183
-3.81995,50,361.722687
-5.172252,50,362.28443
-3.8296,50,362.77859
-5.299523,50,363.309955
-5.65008,50,363.842701
-2.802332,50,364.34363
-4.260374,50,364.872923
-1.921231,50,365.4255
-3.928405,50,365.967197
-6.27355,50,366.488587
-5.224525,50,367.030713
-7.938781,50,367.550003
-5.420305,50,368.084092
-4.815148,50,368.611922
-7.662305,50,369.150276
-3.91309,50,369.685764
-3.908292,50,370.209143
-5.971257,50,370.728315
-2.592244,50,371.251124
-3.811344,50,371.791366
-3.139187,50,372.30299
-5.480288,50,372.815407
-5.776055,50,373.361626
-7.376905,50,373.915503
-4.120256,50,374.443447
-6.865723,50,374.972736
-5.340558,50,375.495468
-1.560383,50,376.023872
-4.246114,50,376.528786
-6.150592,50,377.062867
-6.717307,50,377.595017
-2.013161,50,378.123119
-3.781746,50,378.630806
-5.412825,50,379.17546
-5.845048,50,379.704997
-4.902503,50,380.251751
-7.222786,50,380.759923
-4.145945,50,381.29524
-5.042292,50,381.820895
-3.79384,50,382.372828
-1.298654,50,382.896731
-5.92259,50,383.419854
-8.309148,50,383.941449
-6.347416,50,384.480784
-3.81366,50,385.022106
